Index,Başlık,Açıklama,Fiyat,Gönderim Yeri,Gönderim Ücreti,Toplam Fiyat,Resim URL,Link
18,Retroid ,Retroid ,1018.74,Germany Teslimat,409.31,1428.05,https://ae-pic-a1.aliexpress-media.com/kf/Seaf9334eae4943b8be11a4fd9a1c47e2B.jpg_480x480q75.jpg_.avif,https://tr.aliexpress.com/item/1005008367716406.html?spm=a2g0o.productlist.main.18.533e2eebOmH3qk&algo_pvid=0442c90d-1cde-4cc8-a92f-62e2f37745d7&guide_trace=53500479-b81f-45e8-8e65-4cd3083631ae&algo_exp_id=0442c90d-1cde-4cc8-a92f-62e2f37745d7-17&pdp_ext_f=%7B%22order%22%3A%2252%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%211697.89%211018.74%21%21%21252.50%21151.50%21%40210390c217709879903915367e3909%2112000044740337093%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=tkGHfwajdkk5&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005008367716406%7C_p_origin_prod%3A
19,"720 P 8 ""","720 P 8 """,8665.74,Germany Teslimat,2674.27,11340.01,https://ae01.alicdn.com/kf/Sae8fba672f1040c9a2e976685bf15ce7J/188x64.png,https://tr.aliexpress.com/item/1005005066489996.html?spm=a2g0o.productlist.main.19.533e2eebOmH3qk&algo_pvid=0442c90d-1cde-4cc8-a92f-62e2f37745d7&guide_trace=53500479-b81f-45e8-8e65-4cd3083631ae&algo_exp_id=0442c90d-1cde-4cc8-a92f-62e2f37745d7-18&pdp_ext_f=%7B%22order%22%3A%22136%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21TRY%2117684.74%218665.74%21%21%21380.97%21186.68%21%40210390c217709879903915367e3909%2112000040662392451%21sea%21TR%212808232200%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af700e6dd%3Bm03_new_user%3A-29895&curPageLogUid=faBPwkrBRecj&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate%7Cx_object_id%3A1005005066489996%7C_p_origin_prod%3A
